,x,y,z,qx,qy,qz,qw,type,map,offset_x,offset_y,offset_z
103,-107.572283486,-34.5556395453,-0.0757376569238,-0.0176636643543,-0.0326852526695,0.986296439994,-0.160745145103,1.0,1.0,,,
104,-108.458504187,-35.0550318653,-0.196310972047,-0.017156065419,-0.000119424915731,0.973012408072,-0.230114121459,1.0,1.0,,,
105,-109.289989478,-35.8430181193,-0.0947001734288,-0.0277712672989,-0.00335590120636,0.90879264622,-0.416309285048,1.0,1.0,,,
106,-109.876231759,-36.6710071776,-0.0922355746137,-0.0173701584419,-0.0100095859867,0.910761671863,-0.412445466515,1.0,1.0,,,
107,-110.515635244,-37.6711284759,-0.0972921034568,-0.0179142311305,-0.00215420015029,0.894435728659,-0.446832370183,1.0,1.0,,,
108,-111.014231215,-38.5482673368,-0.0972342885104,-0.00748458395895,-0.00400405826997,0.889983444345,-0.45591382663,1.0,1.0,,,
109,-111.479747465,-39.4423381849,-0.0998195435647,-0.00841524208929,0.000520688383272,0.891157337488,-0.45361604075,1.0,1.0,,,
110,-111.998834605,-40.5008536254,-0.0972586971961,-0.0109138501053,-0.00324782054013,0.901897962011,-0.431799033879,1.0,1.0,,,
111,-112.558460829,-41.5323936465,-0.0976167436036,-0.0168356075,-0.0013162043576,0.9074793355,-0.419757174526,1.0,1.0,,,
112,-113.00508373,-42.4226088511,0.00302162061789,-0.0143208475236,-0.00326237597143,0.897229434452,-0.441320305654,1.0,1.0,,,
113,-113.535084368,-43.4910803686,0.00518108443616,-0.00846390729569,-0.00771960388333,0.899464351504,-0.436843965693,1.0,1.0,,,
114,-113.986291472,-44.3927843226,0.00585409525663,-0.0101542890287,-0.00851243184337,0.902399868948,-0.430695838663,1.0,1.0,,,
115,-114.501995736,-45.4575598946,0.00668879821485,-0.0214111205285,-0.0077979988729,0.900070406875,-0.435148271051,1.0,1.0,,,
116,-114.961784134,-46.3643041189,0.0124595850123,-0.0165797280709,-0.0175842080121,0.910591701098,-0.412599881407,1.0,1.0,,,
117,-115.46331224,-47.2649343597,0.00713717436791,-0.0167667423938,-0.00889162691358,0.91721526529,-0.397939659295,1.0,1.0,,,
118,-115.963045386,-48.1487816137,0.00900649613644,-0.0207409509599,-0.0114615475383,0.905383259483,-0.423933484558,1.0,1.0,,,
119,-116.51511112,-49.2326893584,0.00684063285196,-0.0178554088332,-0.00903034932389,0.893914296001,-0.447791099253,1.0,1.0,,,
120,-116.89424579,-50.1725186038,0.00900583518926,-0.0202112479511,-0.0124987505644,0.882330662794,-0.470029667344,1.0,1.0,,,
121,-117.373972925,-51.0947022056,0.0124529096689,-0.0161524748925,-0.0173956489342,0.919193527229,-0.393090000449,1.0,1.0,,,
122,-117.877095017,-51.9893882414,0.00433522510248,-0.0138322412185,-0.00498230712861,0.915653832184,-0.401698774364,1.0,1.0,,,
123,-118.369594737,-52.8818374892,0.00878362364149,-0.0107607437795,-0.0127406524519,0.920516142268,-0.390348452017,1.0,1.0,,,
124,-118.886013547,-53.7493955788,0.00824052286819,-0.0160433325188,-0.0105963131554,0.924364910561,-0.381024725908,1.0,1.0,,,
125,-119.398000256,-54.641973287,0.00633662837044,-0.0159929041211,-0.0074015926387,0.927052752402,-0.374516538632,1.0,1.0,,,
126,-119.962474188,-55.6924391036,0.00687776035276,-0.0230408574019,-0.00628590182872,0.927648952728,-0.372688914285,1.0,1.0,,,
127,-120.555942409,-56.7294476968,0.112818424221,-0.022291820333,-0.016232617052,0.924416576334,-0.380386080567,1.0,1.0,,,
128,-121.076389992,-57.6304297695,0.109255968429,-0.0170422638854,-0.0122262160617,0.917682790513,-0.396759847867,1.0,1.0,,,
129,-121.538235551,-58.521898924,0.110624522268,-0.0172022641512,-0.0151474437625,0.894221843105,-0.447036835584,1.0,1.0,,,
130,-121.954133116,-59.4777678714,0.108625056323,-0.0173166922541,-0.012574211322,0.876248338295,-0.481384327762,1.0,1.0,,,
131,-122.418683056,-60.4022681914,0.111975971784,-0.0127847704016,-0.0177117387192,0.904625562268,-0.425647079221,1.0,1.0,,,
