,x,y,z,qx,qy,qz,qw,type,map
62,-61.3297468641,-23.1431410066,-1.2,0.0,0.0,0.0,1.0,1.0,1.0
63,-62.398307607,-23.4025955582,-1.0,0.0,0.0,0.0,1.0,1.0,1.0
64,-63.4362840585,-23.7359566148,-1.0,0.0,0.0,0.0,1.0,1.0,1.0
65,-64.5353555891,-24.0323946686,-0.9,0.0,0.0,0.0,1.0,1.0,1.0
66,-65.6191595832,-24.3288224493,-0.9,0.0,0.0,0.0,1.0,1.0,1.0
67,-66.6877328528,-24.5697947741,-0.9,0.0,0.0,0.0,1.0,1.0,1.0
68,-67.7562448219,-24.9031756232,-0.8,0.0,0.0,0.0,1.0,1.0,1.0
69,-68.8247445981,-25.2550380761,-0.8,0.0,0.0,0.0,1.0,1.0,1.0
70,-69.8779768347,-25.6068902723,-0.7,0.0,0.0,0.0,1.0,1.0,1.0
71,-70.9464767729,-25.9587524803,-0.6,0.0,0.0,0.0,1.0,1.0,1.0
72,-71.9691739406,-26.3105841698,-0.6,0.0,0.0,0.0,1.0,1.0,1.0
73,-73.0071388086,-26.6624258775,-0.5,0.0,0.0,0.0,1.0,1.0,1.0
74,-74.0756267236,-27.0327694518,-0.4,0.0,0.0,0.0,1.0,1.0,1.0
75,-75.12881034,-27.4585479642,-0.3,0.0,0.0,0.0,1.0,1.0,1.0
76,-76.2583566465,-27.8474135166,-0.2,0.0,0.0,0.0,1.0,1.0,1.0
77,-77.3573800694,-28.217776957,0.0,0.0,0.0,0.0,1.0,1.0,1.0
78,-78.4716711943,-28.5881503858,0.2,0.0,0.0,0.0,1.0,1.0,1.0
79,-79.5859991584,-28.9030784932,0.4,0.0,0.0,0.0,1.0,1.0,1.0
80,-80.7003394468,-29.1995247342,0.5,0.0,0.0,0.0,1.0,1.0,1.0
81,-81.7993754476,-29.5514059146,0.7,0.0,0.0,0.0,1.0,1.0,1.0
82,-82.8984482572,-29.8478417764,0.8,0.0,0.0,0.0,1.0,1.0,1.0
83,-83.9669736576,-30.1627390133,0.8,0.0,0.0,0.0,1.0,1.0,1.0
84,-85.0660221414,-30.4961380744,0.9,0.0,0.0,0.0,1.0,1.0,1.0
85,-86.1498397785,-30.7740817089,1.0,0.0,0.0,0.0,1.0,1.0,1.0
86,-87.2336330169,-31.0889886748,1.0,0.0,0.0,0.0,1.0,1.0,1.0
87,-88.3174018719,-31.4408589709,1.2,0.0,0.0,0.0,1.0,1.0,1.0
88,-89.3706233326,-31.8111906662,1.2,0.0,0.0,0.0,1.0,1.0,1.0
89,-90.4543678956,-32.2000241703,1.3,0.0,0.0,0.0,1.0,1.0,1.0
90,-91.4922852295,-32.6257907082,1.3,0.0,0.0,0.0,1.0,1.0,1.0
